accuracy,precision,recall,f1_score,tp,tn,fp,fn,feature_method,model,seed,split_ratio,train_size,test_size,extraction_time,method,feature_size,train_time,threshold,pred_time,dataset
0.9918327344005228,0.9968708091193564,0.9810822701275846,0.9889135254988914,2230,3842,7,43,tf-idf,xgboost,42,0.2,24487,6122,0.3464091119999466,tf-idf,21019,0.0490031788295811,0.5,0.0023985919633949,SQLiV3.tsv
0.982358706305129,0.9758241758241758,0.9766827980642324,0.9762532981530344,2220,3794,55,53,tf-idf,naive_bayes,42,0.2,24487,6122,0.3464091119999466,tf-idf,21019,0.0002283784048665,0.5,0.0001254617771929,SQLiV3.tsv
0.8106827834041163,0.6690953248330298,0.9696436427628684,0.7918088737201366,2204,2759,1090,69,tf-idf,svm,42,0.2,24487,6122,0.3464091119999466,tf-idf,21019,1.8854620637481083,0.5,0.4625504952629966,SQLiV3.tsv
0.9973864750081672,0.9995573262505534,0.9934007919049714,0.9964695498676084,2258,3848,1,15,tf-idf_ngram,xgboost,42,0.2,24487,6122,2.1688814229999025,tf-idf_ngram,29216,0.3267085455139424,0.5,0.0017198181966782,SQLiV3.tsv
0.9207775236850704,0.8328369322412509,0.9841619005719312,0.9021980237951198,2237,3400,449,36,tf-idf_ngram,naive_bayes,42,0.2,24487,6122,2.1688814229999025,tf-idf_ngram,29216,0.0006682242822697,0.5,0.0005206863770103,SQLiV3.tsv
0.9970597843841882,0.9995569339831636,0.9925208974923008,0.9960264900662252,2256,3848,1,17,tf-idf_ngram,svm,42,0.2,24487,6122,2.1688814229999025,tf-idf_ngram,29216,5.170691479560584,0.5,1.8337797651094407,SQLiV3.tsv
0.9967330937602092,0.9995565410199556,0.9916410030796304,0.995583038869258,2254,3848,1,19,bag_of_characters,xgboost,42,0.2,24487,6122,0.4798582180001176,bag_of_characters,77,0.1150658263976873,0.5,0.0010719271479691,SQLiV3.tsv
0.8549493629532833,0.7584919746173946,0.8939727232732072,0.8206785137318254,2032,3202,647,241,bag_of_characters,naive_bayes,42,0.2,24487,6122,0.4798582180001176,bag_of_characters,77,0.0002570340997207,0.5,0.0001549137536643,SQLiV3.tsv
0.9916693890885332,0.9946571682991986,0.9828420589529256,0.9887143173268422,2234,3837,12,39,bag_of_characters,svm,42,0.2,24487,6122,0.4798582180001176,bag_of_characters,77,0.2374459523012256,0.5,0.2055763048023438,SQLiV3.tsv
0.9967330937602092,1.0,0.9912010558732952,0.9955810870525852,2253,3849,0,20,"tf-idf, tf-idf_ngram, bag_of_characters",ensemble_1,42,0.2,24487,6122,8.9854462589999,,150936,16.770976942137885,,2.5108213954590206,SQLiV3.tsv
0.9965697484482196,1.0,0.99076110866696,0.9953591160220996,2252,3849,0,21,"tf-idf, tf-idf_ngram, bag_of_characters",ensemble_2,42,0.2,24487,6122,8.9854462589999,,150936,16.770976942137885,,2.513417540673005,SQLiV3.tsv
0.9941195687683764,0.9955693398316348,0.9885613726352838,0.9920529801324502,2247,3839,10,26,"tf-idf, tf-idf_ngram, bag_of_characters",ensemble_4,42,0.2,24487,6122,0.1883109908931192,,50312,2.5102349420100487,,1.408177695361025,SQLiV3.tsv
0.9975498203201568,0.9991158267020336,0.994280686317642,0.9966923925027564,2260,3847,2,13,tf-idf_ngram,xgboost,42,0.2,24487,6122,2.1640982829999302,tf-idf_ngram,29216,0.3428194341895708,0.3,0.001663386638378,SQLiV3.tsv
0.997876510944136,0.9964850615114236,0.9978002639683238,0.9971422290613322,2268,3841,8,5,bert_en_uncased_L-12_H-768_A-12,bert_en_uncased_L-12_H-768_A-12,42,0.2,24487,6122,0.0,,0,71.06877240816453,,2.1081641778880496,SQLiV3.tsv
0.997876510944136,0.9991166077738516,0.9951605807303124,0.997134670487106,2262,3847,2,11,bert_en_cased_L-12_H-768_A-12,bert_en_cased_L-12_H-768_A-12,42,0.2,24487,6122,0.0,,0,70.81237946143949,,2.125542135029905,SQLiV3.tsv
0.9977131656321464,1.0,0.9938407391113068,0.9969108561341572,2259,3849,0,14,small_bert/bert_en_uncased_L-2_H-128_A-2,small_bert/bert_en_uncased_L-2_H-128_A-2,42,0.2,24487,6122,0.0,,0,23.92543859205683,,1.298005539620869,SQLiV3.tsv
0.9983665468801044,0.9995584988962471,0.9960404751429828,0.99779638607316,2264,3848,1,9,small_bert/bert_en_uncased_L-4_H-512_A-8,small_bert/bert_en_uncased_L-4_H-512_A-8,42,0.2,24487,6122,0.0,,0,32.358936132687376,,1.4509042857013392,SQLiV3.tsv
0.9977131656321464,0.9982355535950596,0.9956005279366476,0.9969162995594713,2263,3845,4,10,small_bert/bert_en_uncased_L-8_H-128_A-2,small_bert/bert_en_uncased_L-8_H-128_A-2,42,0.2,24487,6122,0.0,,0,44.88944070669369,,1.7636456702979162,SQLiV3.tsv
0.9942829140803658,0.9995535714285714,0.985041794984602,0.992244626634168,2239,3848,1,34,small_bert/bert_en_uncased_L-12_H-768_A-12,small_bert/bert_en_uncased_L-12_H-768_A-12,42,0.2,24487,6122,0.0,,0,71.34474909417055,,2.102958419984246,SQLiV3.tsv
0.9005227049983665,0.7907058001397624,0.9956005279366476,0.8814021421616358,2263,3250,599,10,bert_multi_cased_L-12_H-768_A-12,bert_multi_cased_L-12_H-768_A-12,42,0.2,24487,6122,0.0,,0,80.7081375904109,,2.108725446846236,SQLiV3.tsv
0.9944462593923554,0.999553770638108,0.9854817421909372,0.9924678777137792,2240,3848,1,33,albert_en_base,albert_en_base,42,0.2,24487,6122,0.0,,0,67.29904501290243,,2.0442053368963164,SQLiV3.tsv
0.998529892192094,0.9991181657848324,0.9969203695556532,0.9980180576965426,2266,3847,2,7,electra_base,electra_base,42,0.2,24487,6122,0.0,,0,71.34939285755333,,2.104054981880973,SQLiV3.tsv
0.9985298921920941,0.9991181657848325,0.9969203695556533,0.9980180576965426,2266,3847,2,7,electra_small,electra_small,42,0.2,24487,6122,0.0,,0,59.942844436202456,,1.9543311129360954,SQLiV3.tsv
